icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model,typecode,registration,departure_time,arrival_time,departure_weather,arrival_weather,distance_km,fuel_burn_kg,co2_emissions_kg,weather_penalty_score,fuel_burn_kg_adjusted,co2_emissions_kg_adjusted,fuel_burn_kg_modeled,co2_emissions_kg_modeled,wind_direction_deg,wind_speed_kt,weather_penalty_factor,weather_adjusted_fuel_burn_kg,weather_adjusted_co2_emissions_kg
89627b,1664404412.0,0.0,1664408295,0.0,ETD315  ,Unknown,Unknown,OERK,Unknown,A321 232SL,A321,A6-AED,1664404412.0,1664408295.0,No Weather Info,"OERK 091100Z 24004KT CAVOK 38/02 Q1015 NOSIG,OERK,2025-04-09T11:00:00Z,24.945,46.702,38,2,240,4,,6+,29.97,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,618",6381.145375680991,28715.15419056446,90739.8872421837,0.0,28715.15419056446,90739.8872421837,28715.15419056446,90739.8872421837,,,0.0,28715.15419056446,90739.8872421837
89627b,1664362339.0,0.0,1664391628,0.0,ETD656  ,Unknown,Unknown,OMAA,Unknown,A321 232SL,A321,A6-AED,1664362339.0,1664391628.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2174.60567132252,9785.72552095134,30922.89264620623,0.0,9785.72552095134,30922.89264620623,9785.72552095134,30922.89264620623,,,0.0,9785.72552095134,30922.892646206237
89627b,1664302265.0,0.0,1664332121,0.0,ETD274  ,OMAA,Unknown,OMAA,Unknown,A321 232SL,A321,A6-AED,1664302265.0,1664332121.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6695.051314539074,30127.73091542584,95203.62969274564,0.05,31634.11746119713,99963.81117738292,30127.730915425836,95203.62969274564,290.0,14.0,0.02,30730.285533734354,97107.70228660056
896409,1664359481.0,0.0,1664384165,0.0,ETD9    ,Unknown,Unknown,EGLL,Unknown,787 9,B789,A6-BLD,1664359481.0,1664384165.0,No Weather Info,"EGLL 091120Z AUTO 07010KT 9999 FEW028 10/03 Q1030,EGLL,2025-04-09T11:20:00Z,51.477,-0.461,10,3,70,10,,6+,30.41,,,TRUE,,,,,,,,FEW,2800,,,,,,,VFR,,,,,,,,,,,,METAR,26",4594.055367378165,20673.249153201745,65327.46732411752,0.0,20673.249153201745,65327.46732411752,20673.249153201745,65327.46732411752,,,0.0,20673.249153201745,65327.46732411752
89643e,1664398202.0,0.0,1664401213,0.0,ETD352  ,Unknown,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEH,1664398202.0,1664401213.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6165.514227216395,27744.814022473776,87673.61231101713,0.0,27744.814022473776,87673.61231101713,27744.814022473776,87673.61231101713,,,0.0,27744.814022473776,87673.61231101713
89643e,1664386544.0,0.0,1664390803,0.0,ETD351  ,Unknown,Unknown,OERK,Unknown,A321 231SL,A321,A6-AEH,1664386544.0,1664390803.0,No Weather Info,"OERK 091100Z 24004KT CAVOK 38/02 Q1015 NOSIG,OERK,2025-04-09T11:00:00Z,24.945,46.702,38,2,240,4,,6+,29.97,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,618",6378.501988189107,28703.25894685098,90702.2982720491,0.0,28703.25894685098,90702.2982720491,28703.25894685098,90702.2982720491,,,0.0,28703.25894685098,90702.2982720491
89643e,1664346330.0,0.0,1664375427,0.0,ETD514  ,Unknown,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEH,1664346330.0,1664375427.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6613.281842069315,29759.76828931192,94040.86779422566,0.0,29759.76828931192,94040.86779422566,29759.76828931192,94040.86779422566,,,0.0,29759.76828931192,94040.86779422568
89643e,1664324887.0,0.0,1664327682,0.0,ETD370  ,OBBI,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEH,1664324887.0,1664327682.0,"OBBI 091100Z 32018KT CAVOK 32/15 Q1010 NOSIG,OBBI,2025-04-09T11:00:00Z,26.271,50.634,32,15,320,18,,6+,29.82,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,6","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",4196.387989819227,18883.74595418652,59672.637215229406,0.05,19827.933251895847,62656.26907599088,18883.74595418652,59672.637215229406,320.0,18.0,0.02,19261.42087327025,60866.089959533994
89642a,1664393855.0,0.0,1664407009,0.0,ETD268  ,OMAA,Unknown,VOMM,Unknown,A321 231SL,A321,A6-AEE,1664393855.0,1664407009.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","VOMM 091100Z 10012KT 6000 FEW020 33/25 Q1006 NOSIG,VOMM,2025-04-09T11:00:00Z,12.994,80.18,33,25,100,12,,3.73,29.70,,,,,,TRUE,,,,,FEW,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,7",6128.571968121801,27578.573856548104,87148.293386692,0.05,28957.50254937551,91505.70805602662,27578.573856548104,87148.293386692,290.0,14.0,0.02,28130.145333679066,88891.25925442585
89642a,1664377351.0,0.0,1664386398,0.0,ETD244  ,Unknown,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEE,1664377351.0,1664386398.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",5130.356372837623,23086.603677769304,72953.66762175101,0.0,23086.603677769304,72953.66762175101,23086.603677769304,72953.66762175101,,,0.0,23086.603677769304,72953.66762175101
